23,41.136,79.157
20,50.143,95.231
17,43.037,77.051
16,58.069,100.17
19,44.226,84.151
21,43.04,81.074
16,50.035,89.179
23,43.086,89.351
15,48.11,79.101
15,44.068,80.09
19,52.03,98.204
20,41.126,76.089
24,41.135,82.104
25,36.04,89.187
14,42.081,66.162
23,46.148,94.278
21,37.157,80.399
23,48.099,102.29
16,57.044,95.2
14,49.025,82.055
26,38.041,88.345
20,44.063,88.116
21,53.095,114.27
22,38.113,77.054
15,54.034,95.136
26,37.041,92.096
27,39.065,82.168
19,56.112,106.19
21,47.097,98.185
22,40.006,82.172
15,51.059,86.157
20,46.134,84.12
33,38.119,108.13
28,35.264,73.153
21,38.064,78.049
19,43.087,83.233
20,50.062,84.216
17,48.062,83.178
22,40.235,80.303
24,37.102,81.284
17,43.086,80.146
27,43.136,110.18
25,47.037,103.09
25,42.206,93.232
21,44.051,88.149
19,50.059,89.297
15,51.065,86.172
18,47.058,88.325
27,43.12,98.073
13,58.102,81.263
26,35.056,90.116
25,47.239,104.13
26,39.054,88.079
24,43.123,84.223
18,52.149,102.15
27,37.061,88.072
18,48.168,96.316
18,41.038,77.304
24,38.053,76.075
21,44.046,85.092
12,47.05,67.077
18,54.093,102.14
27,42.042,78.176
22,45.015,97.123
27,39.181,94.157
19,51.062,99.235
22,47.136,92.136
19,48.078,100.26
22,46.138,96.18
24,41.065,90.276
22,41.159,77.098
17,51.15,90.157
23,37.03,81.194
18,43.136,78.14
17,49.13,86.094
12,51.136,83.281
21,50.268,104.26
25,44.034,97.334
16,44.102,79.094
17,49.151,94.084
13,66.24,103.19
19,52.067,95.177
17,49.11,82.232
25,47.083,104.29
28,42.099,101.12
19,45.168,88.171
22,53.131,92.174
18,47.068,84.274
21,41.109,75.145
22,49.025,91.087
17,49.012,82.13
27,40.077,95.05
27,35.228,84.138
21,46.116,91.285
37,41.028,136.07
21,44.032,90.053
25,45.038,100.2
23,39.098,84.071
12,48.056,77.11
21,38.114,79.221
24,38.012,88.266
19,45.015,87.18
25,38.121,84.191
24,42.074,89.076
24,41.075,91.157
16,46.013,80.206
17,42.166,75.141
20,44.027,83.2
22,41.129,82.304
19,46.068,90.205
20,46.063,91.171
20,49.019,101.4
22,47.021,92.243
25,36.127,90.158
19,44.072,85.051
23,46.09,90.233
22,39.021,79.129
24,46.038,98.209
19,49.166,87.115
22,38.016,76.127
24,41.008,86.088
38,38.186,125.27
19,51.156,99.194
22,43.063,91.204
17,50.022,93.084
17,54.047,103.25
17,45.132,83.286
30,41.091,103.17
20,49.214,95.192
25,48.103,110.34
18,45.035,81.342
15,53.159,91.088
21,45.095,81.151
21,43.048,84.037
19,51.141,93.21
25,43.048,104.15
30,41.042,101.22
35,43.145,127.22
21,43.047,87.389
18,43.062,80.151
19,48.049,80.135
24,42.112,91.274
19,46.014,85.153
12,50.109,69.079
17,45.149,78.213
25,40.059,92.187
24,37.157,92.121
23,41.07,90.148
24,46.027,107.18
19,45.038,85.231
18,45.028,87.125
22,44.023,91.061
20,48.086,94.145
22,49.109,95.13
22,47.108,89.084
19,57.105,105.24
23,42.071,88.155
22,42.066,85.119
25,51.054,112.2
27,40.116,98.304
23,38.044,79.084
36,39.083,152.32
27,45.024,104.18
21,46.026,77.094
24,41.029,79.19
22,36.066,77.123
24,46.041,91.172
23,44.028,92.198
23,51.035,100.18
13,53.143,83.259
21,48.154,102.3
16,56.052,97.213
23,40.048,86.115
21,50.148,99.225
12,65.05,95.048
21,45.097,89.215
15,65.195,98.293
19,45.054,89.106
27,40.018,94.055
21,39.129,76.151
19,49.09,89.148
14,48.079,75.21
21,40.104,85.278
32,40.068,116.16
19,42.058,77.35
23,48.108,104.19
20,52.102,95.233
22,62.073,124.25
18,55.042,87.204
19,47.078,95.121
20,37.042,81.05
23,43.142,89.104
25,44.079,103.43
18,44.259,82.173
19,56.032,103.21
18,48.125,92.116
27,48.031,112.22
24,42.066,90.161
20,48.116,82.223
15,41.042,69.061
30,47.082,113.17
22,38.043,77.24
20,51.03,107.28
19,53.165,94.411
26,44.061,105.2
20,40.063,78.157
22,45.114,87.174
23,32.048,75.128
18,43.056,75.117
26,36.118,79.153
18,65.102,123.21
26,35.067,89.186
21,44.06,83.112
19,49.098,87.164
43,40.047,146.35
20,41.086,87.166
22,42.024,89.069
24,40.119,83.245
19,42.235,78.147
18,46.053,84.28
21,41.067,84.176
24,42.065,85.22
22,46.025,93.157
24,40.057,89.13
21,43.062,89.271
26,27.01,65.212
20,45.068,95.165
20,49.057,94.096
20,49.099,99.117
25,41.012,88.162
20,45.095,84.286
25,42.017,91.148
17,52.031,92.181
24,37.305,87.329
23,37.133,91.186
15,53.145,86.102
18,54.084,102.06
18,48.047,83.199
18,50.058,88.259
24,46.114,96.37
21,40.032,79.102
17,45.027,80.154
21,48.016,99.357
21,39.058,78.12
24,45.066,94.107
21,36.109,73.087
22,40.091,80.1
18,45.068,83.27
20,46.06,87.132
15,45.03,81.088
19,43.009,78.131
18,48.198,84.143
16,42.01,68.042
21,42.103,84.326
22,40.161,79.341
18,49.156,91.16
22,48.04,101.09
20,42.193,80.059
17,46.079,83.16
21,41.096,84.122
21,47.064,96.111
23,41.054,78.142
14,48.059,73.241
19,51.076,97.129
19,54.21,101.08
14,55.232,85.362
21,43.051,80.234
18,48.028,88.239
14,51.03,83.088
16,53.11,91.14
23,41.07,79.11
20,45.071,88.287
27,47.011,117.2
22,40.019,86.095
17,46.038,82.178
20,51.046,94.154
27,40.093,107.05
20,46.068,82.142
22,48.137,87.118
25,44.122,100.13
29,44.091,108.17
20,38.047,79.06
17,55.14,95.103
25,42.192,98.111
21,42.06,81.267
23,53.047,105.22
19,44.135,81.086
17,52.12,93.26
17,42.091,75.159
21,45.102,87.247
16,46.01,77.158
24,42.073,100.27
21,47.04,86.152
11,66.132,90.164
22,48.084,96.119
20,47.037,97.149
17,47.101,88.158
19,51.071,100.16
24,46.079,97.173
24,44.058,90.22
12,68.103,104.38
18,37.094,75.371
17,57.102,99.1
25,43.04,100.22
21,48.09,92.233
23,48.034,100.17
23,43.098,85.065
21,45.013,93.337
25,36.087,81.075
28,44.104,113.26
21,41.229,83.296
21,56.032,116.32
17,46.042,84.065
19,36.022,67.076
23,41.097,86.261
26,34.184,86.147
12,64.069,101.33
28,42.03,97.113
24,45.081,96.135
20,45.028,85.189
20,43.019,75.079
21,44.132,85.186
25,48.058,112.23
18,54.058,96.116
25,45.059,90.405
28,46.104,119.25
25,42.106,85.281
25,43.032,96.12
24,46.018,97.118
39,46.144,162.24
10,34.193,47.155
18,44.077,77.206
18,52.099,90.424
24,43.065,96.101
37,41.052,127.17
19,42.123,80.151
27,46.013,107.39
16,47.202,83.169
17,46.085,87.148
16,54.116,94.201
16,49.069,85.087
17,46.111,92.126
20,44.052,84.078
17,47.051,83.204
18,54.059,97.128
23,44.096,89.115
23,40.057,83.045
21,46.116,90.189
15,45.05,71.162
21,42.024,86.18
24,37.023,84.105
22,40.086,84.046
20,42.105,78.186
22,44.051,92.179
24,41.019,90.212
25,47.026,102.28
24,45.029,105.3
25,46.022,67.109
23,41.038,78.15
15,47.043,77.324
17,45.121,89.162
22,47.033,98.222
28,40.092,97.133
19,47.077,91.133
22,46.036,92.299
21,50.027,101.23
17,45.042,81.187
22,46.055,87.138
19,51.32,95.091
16,49.01,89.204
15,48.016,79.165
22,43.102,87.131
19,44.062,90.156
11,47.09,67.079
21,47.133,91.107
28,41.048,99.206
16,47.037,72.248
19,36.015,75.108
27,41.048,96.083
15,47.101,76.138
21,42.061,81.11
16,53.131,61.068
14,45.036,68.081
22,42.077,83.053
16,52.037,88.096
19,55.109,100.18
17,48.084,85.245
22,45.061,100.31
19,44.198,78.346
20,40.18,75.108
21,40.04,83.271
26,39.048,85.209
