32.117,67.276,30
44.373,88.614,28
35.529,88.037,38
43.247,84.94,28
38.903,72.744,24
34.179,78.714,40.017
48.62,79.466,19.983
47.82,130.56,39.983
40.341,85.101,28
47.572,89.346,26
37.163,76.218,32
40.424,87.415,34
41.247,77.646,25.983
38.615,83.368,31.983
43.134,87.861,28
32.247,81.848,38
38.608,94.626,36
58.427,94.507,20
52.02,82.66,17.983
44.186,80.222,26
44.624,78.412,23.983
41.21,90.783,32
35.837,96.835,40
34.214,66.781,31.983
40.392,80.392,30
47.328,95.085,32
46.965,79.32,20
37.746,73.728,24
35.498,79.018,33.983
33.979,77.617,32
30.928,81.92,52
31.104,76.394,36
36.409,85.137,38
49.581,85.371,22
33.262,85.275,38.017
38.281,77.787,28
36.897,89.136,36
39.431,85.979,32
32.309,77.539,38
36.403,76.511,30
41.898,83.331,27.983
36.886,93.681,36
39.077,71.933,29.983
31.63,75.755,34
34.196,89.67,42
40.168,77.404,23.983
36.845,82.016,32
36.964,73.175,25.983
36.136,72.726,32
40.641,85.403,26.017
42.425,96.105,34.017
38.621,80.061,32
42.14,84.936,26.017
45.605,88.166,24.017
39.364,80.012,27.983
46.444,77.371,22.017
43.988,75.763,24.017
46.618,83.43,22.017
44.681,83.109,24
43.162,80.103,26.017
41.357,75.157,24
41.802,64.37,18.017
40.876,76.574,26.017
39.101,73.327,26.017
44.396,70.768,19.983
42.368,76.27,22
48.006,75.619,18
47.058,86.507,26.017
56.335,99.025,22
40.248,105.62,42
53.463,87.941,20
39.297,98.41,34.017
41.09,89.904,34.017
44.951,83.43,26.017
39.456,82.37,32
58.532,94.918,16
43.072,81.412,24
41.299,79.126,26
37.943,76.681,32
41.111,83.819,30.017
38.877,93.009,34
37.53,74.228,30
46.196,92.367,28
52.995,93.262,22
62.305,124.87,24
45.463,101.81,32
44.493,98.197,32.017
40.49,77.396,26
38.916,72.251,24
42.523,76.632,21.983
48.237,74.3,16
46.583,85.962,24
42.037,84.928,28
38.385,74.192,28
30,74.152,36
37.734,76.95,32
64.499,101.07,18
46.188,84.935,22
33.999,66.705,32
29.625,77.267,42
39.542,82.513,26
35.824,73.931,34
65.903,167.38,40
54.863,134,34
37.611,72.47,29.983
36.333,74.362,28.017
32.125,81.539,40.017
33.213,66.013,22
43.918,75.321,22.017
30.657,71.02,38
42.737,87.79,30
38.224,64.511,22
39.636,76.147,26.017
32.821,75.293,38.017
34.033,88.927,42.017
39.749,71.855,24
43.688,71.52,20
44.358,106.07,38.017
43.299,83.85,30.017
40.729,73.684,24
34.485,79.701,38
33.881,79.315,34.017
43.404,85.704,26
35.343,97.909,44.017
38.066,79.472,32
67.05,108.43,20
33.308,77.599,32.017
32.305,70.512,32.017
34.272,82.256,32.017
34.808,68.345,28
35.045,88.02,34.033
36.635,87.026,32.017
39.283,79.361,30.017
36.675,66.916,24
36.546,67.472,24
35.571,80.095,30
